invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,VAT,total,date,time,payment_method,cogs,gross_margin_percentage,gross_income,rating,time_of_day,day_name,month_name,review
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.56,2019-03-13,19:44:00,Credit card,320.53,4.761904716,16.0265,7.0,Evening,Wednesday,March,Good
105-10-6182,A,Yangon,Member,Male,Fashion accessories,21.48,2,2.148,45.11,2019-02-27,12:22:00,Ewallet,42.96,4.761904716,2.148,6.6,Afternoon,Wednesday,February,Good
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.97,2019-02-01,15:10:00,Credit card,486.64,4.761904716,24.332,8.5,Afternoon,Friday,February,Best
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11,2019-03-27,11:26:00,Cash,88.68,4.761904716,4.434,5.8,Morning,Wednesday,March,Good
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.761904716,23.288,8.4,Evening,Sunday,January,Best
124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.71,2019-01-08,14:30:00,Cash,238.77,4.761904716,11.9385,6.6,Afternoon,Tuesday,January,Good
125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1,6,29.73,624.33,2019-01-19,13:11:00,Cash,594.6,4.761904716,29.73,4.2,Afternoon,Saturday,January,Better
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.55,2019-01-07,11:44:00,Credit card,193.86,4.761904716,9.693,8.8,Morning,Monday,January,Best
127-47-6963,A,Yangon,Normal,Male,Health and beauty,51.71,4,10.342,217.18,2019-03-09,13:53:00,Credit card,206.84,4.761904716,10.342,9.8,Afternoon,Saturday,March,Best
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.76,2019-03-10,19:15:00,Ewallet,313.1,4.761904716,15.655,7.0,Evening,Sunday,March,Good
130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,2019-01-11,13:57:00,Ewallet,291.0,4.761904716,14.55,9.4,Afternoon,Friday,January,Best
131-70-8179,A,Yangon,Member,Female,Health and beauty,92.09,3,13.8135,290.08,2019-02-17,16:27:00,Cash,276.27,4.761904716,13.8135,4.2,Evening,Sunday,February,Better
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.09,2019-01-04,13:21:00,Cash,104.85,4.761904716,5.2425,7.8,Afternoon,Friday,January,Good
134-75-2619,A,Yangon,Member,Male,Electronic accessories,19.32,7,6.762,142.0,2019-03-25,18:51:00,Cash,135.24,4.761904716,6.762,6.9,Evening,Monday,March,Good
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.44,2019-02-27,16:10:00,Ewallet,701.37,4.761904716,35.0685,7.6,Evening,Wednesday,February,Good
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.66,2019-02-15,17:01:00,Credit card,559.68,4.761904716,27.984,6.4,Evening,Friday,February,Good
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.03,2019-01-15,15:42:00,Credit card,802.89,4.761904716,40.1445,6.5,Afternoon,Tuesday,January,Good
139-32-4183,A,Yangon,Member,Female,Sports and travel,97.48,9,43.866,921.19,2019-03-14,14:19:00,Ewallet,877.32,4.761904716,43.866,7.4,Afternoon,Thursday,March,Good
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.11,2019-01-05,16:05:00,Credit card,282.96,4.761904716,14.148,4.4,Evening,Saturday,January,Better
146-09-5432,A,Yangon,Member,Male,Food and beverages,35.04,9,15.768,331.13,2019-02-09,19:17:00,Ewallet,315.36,4.761904716,15.768,4.6,Evening,Saturday,February,Better
149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,674.0,2019-01-19,14:08:00,Credit card,641.9,4.761904716,32.095,6.7,Afternoon,Saturday,January,Good
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.65,2019-02-14,15:04:00,Cash,133.95,4.761904716,6.6975,6.2,Afternoon,Thursday,February,Good
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,2019-02-13,12:38:00,Ewallet,129.0,4.761904716,6.45,6.5,Afternoon,Wednesday,February,Good
152-68-2907,A,Yangon,Normal,Male,Food and beverages,52.2,3,7.83,164.43,2019-02-15,13:30:00,Credit card,156.6,4.761904716,7.83,9.5,Afternoon,Friday,February,Best
156-95-3964,A,Yangon,Normal,Female,Food and beverages,55.39,4,11.078,232.64,2019-03-25,15:19:00,Ewallet,221.56,4.761904716,11.078,8.0,Afternoon,Monday,March,Good
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,18:24:00,Ewallet,519.4,4.761904716,25.97,6.5,Evening,Saturday,March,Good
160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95,5,23.9875,503.74,2019-01-23,14:21:00,Ewallet,479.75,4.761904716,23.9875,8.8,Afternoon,Wednesday,January,Best
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.1,2019-02-10,15:10:00,Cash,222.95,4.761904716,11.1475,8.5,Afternoon,Sunday,February,Best
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718,561.08,2019-01-18,17:26:00,Cash,534.36,4.761904716,26.718,9.9,Evening,Friday,January,Best
169-52-4504,A,Yangon,Normal,Female,Electronic accessories,15.69,3,2.3535,49.42,2019-03-14,14:13:00,Credit card,47.07,4.761904716,2.3535,5.8,Afternoon,Thursday,March,Good
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.23,2019-03-03,17:01:00,Credit card,177.36,4.761904716,8.868,9.6,Evening,Sunday,March,Best
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.57,2019-01-01,20:26:00,Ewallet,108.16,4.761904716,5.408,6.9,Evening,Tuesday,January,Good
186-43-8965,A,Yangon,Member,Female,Home and lifestyle,47.68,2,4.768,100.13,2019-02-24,10:10:00,Credit card,95.36,4.761904716,4.768,4.1,Morning,Sunday,February,Better
186-71-5196,A,Yangon,Member,Female,Food and beverages,79.54,2,7.954,167.03,2019-03-27,16:30:00,Ewallet,159.08,4.761904716,7.954,6.2,Evening,Wednesday,March,Good
187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.154,87.23,2019-01-31,13:47:00,Cash,83.08,4.761904716,4.154,4.7,Afternoon,Thursday,January,Better
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.11,2019-03-10,12:17:00,Credit card,175.34,4.761904716,8.767,7.7,Afternoon,Sunday,March,Good
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.69,2019-03-14,12:07:00,Cash,696.85,4.761904716,34.8425,7.6,Afternoon,Thursday,March,Good
195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.18,2019-01-13,12:55:00,Credit card,243.03,4.761904716,12.1515,9.3,Afternoon,Sunday,January,Best
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.01,2019-03-06,12:27:00,Credit card,158.1,4.761904716,7.905,8.6,Afternoon,Wednesday,March,Best
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.28,2019-01-05,17:29:00,Ewallet,214.55,4.761904716,10.7275,6.1,Evening,Saturday,January,Good
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.04,2019-03-28,16:44:00,Cash,349.56,4.761904716,17.478,9.9,Evening,Thursday,March,Best
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.818,416.18,2019-01-23,10:28:00,Cash,396.36,4.761904716,19.818,7.3,Morning,Wednesday,January,Good
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.83,2019-03-20,15:56:00,Cash,86.5,4.761904716,4.325,6.2,Afternoon,Wednesday,March,Good
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,11:25:00,Cash,250.6,4.761904716,12.53,4.2,Morning,Saturday,January,Better
218-59-9410,A,Yangon,Member,Female,Home and lifestyle,72.42,3,10.863,228.12,2019-03-29,16:54:00,Ewallet,217.26,4.761904716,10.863,8.2,Evening,Friday,March,Best
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.473,72.93,2019-03-01,18:14:00,Ewallet,69.46,4.761904716,3.473,9.7,Evening,Friday,March,Best
220-68-6701,A,Yangon,Normal,Female,Home and lifestyle,77.47,4,15.494,325.37,2019-03-17,16:36:00,Cash,309.88,4.761904716,15.494,4.2,Evening,Sunday,March,Better
221-25-5073,A,Yangon,Normal,Female,Food and beverages,74.66,4,14.932,313.57,2019-03-04,10:39:00,Cash,298.64,4.761904716,14.932,8.5,Morning,Monday,March,Best
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.76,2019-03-22,19:20:00,Credit card,420.72,4.761904716,21.036,8.5,Evening,Friday,March,Best
227-50-3718,A,Yangon,Normal,Male,Health and beauty,14.62,5,3.655,76.76,2019-03-04,12:23:00,Cash,73.1,4.761904716,3.655,4.4,Afternoon,Monday,March,Better
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.09,2019-01-24,10:04:00,Cash,787.7,4.761904716,39.385,6.4,Morning,Thursday,January,Good
237-44-6163,A,Yangon,Normal,Male,Electronic accessories,10.56,8,4.224,88.7,2019-01-24,17:43:00,Cash,84.48,4.761904716,4.224,7.6,Evening,Thursday,January,Good
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.66,2019-03-27,13:48:00,Credit card,259.68,4.761904716,12.984,4.9,Afternoon,Wednesday,March,Better
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.09,2019-01-21,16:37:00,Ewallet,467.7,4.761904716,23.385,8.0,Evening,Monday,January,Good
239-48-4278,A,Yangon,Member,Male,Food and beverages,10.13,7,3.5455,74.46,2019-03-10,19:35:00,Ewallet,70.91,4.761904716,3.5455,8.3,Evening,Sunday,March,Best
243-55-8457,A,Yangon,Normal,Female,Food and beverages,74.44,10,37.22,781.62,2019-02-27,11:40:00,Ewallet,744.4,4.761904716,37.22,5.1,Morning,Wednesday,February,Best
247-11-2470,A,Yangon,Member,Female,Fashion accessories,22.32,4,4.464,93.74,2019-03-01,16:23:00,Credit card,89.28,4.761904716,4.464,4.4,Evening,Friday,March,Better
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.55,2019-01-03,11:36:00,Ewallet,350.05,4.761904716,17.5025,5.5,Morning,Thursday,January,Good
250-17-5703,A,Yangon,Member,Male,Food and beverages,18.85,10,9.425,197.93,2019-02-27,18:24:00,Ewallet,188.5,4.761904716,9.425,5.6,Evening,Wednesday,February,Good
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.5,2019-02-07,16:48:00,Ewallet,431.9,4.761904716,21.595,8.2,Evening,Thursday,February,Best
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,2019-03-12,12:43:00,Credit card,688.8,4.761904716,34.44,8.7,Afternoon,Tuesday,March,Best
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.18,2019-03-06,12:46:00,Credit card,193.5,4.761904716,9.675,7.8,Afternoon,Wednesday,March,Good
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.306,237.43,2019-03-04,19:48:00,Ewallet,226.12,4.761904716,11.306,5.5,Evening,Monday,March,Good
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.97,2019-01-08,17:12:00,Cash,200.92,4.761904716,10.046,9.0,Evening,Tuesday,January,Best
258-92-7466,A,Yangon,Normal,Female,Health and beauty,35.68,5,8.92,187.32,2019-02-06,18:33:00,Credit card,178.4,4.761904716,8.92,6.6,Evening,Wednesday,February,Good
263-12-5321,A,Yangon,Member,Male,Electronic accessories,92.6,7,32.41,680.61,2019-02-27,12:52:00,Credit card,648.2,4.761904716,32.41,9.3,Afternoon,Wednesday,February,Best
269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17,7,18.6095,390.8,2019-01-21,18:01:00,Cash,372.19,4.761904716,18.6095,8.9,Evening,Monday,January,Best
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.32,2019-01-15,17:17:00,Ewallet,547.92,4.761904716,27.396,4.7,Evening,Tuesday,January,Better
274-05-5470,A,Yangon,Member,Female,Food and beverages,73.47,4,14.694,308.57,2019-02-23,18:30:00,Cash,293.88,4.761904716,14.694,6.0,Evening,Saturday,February,Good
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.87,2019-02-25,16:21:00,Cash,63.69,4.761904716,3.1845,6.0,Evening,Monday,February,Good
276-75-6884,A,Yangon,Normal,Female,Health and beauty,68.71,3,10.3065,216.44,2019-03-04,10:05:00,Cash,206.13,4.761904716,10.3065,8.7,Morning,Monday,March,Best
278-86-2735,A,Yangon,Normal,Female,Food and beverages,52.34,3,7.851,164.87,2019-03-27,14:03:00,Cash,157.02,4.761904716,7.851,9.2,Afternoon,Wednesday,March,Best
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,65.6,2019-02-18,20:29:00,Cash,62.48,4.761904716,3.124,4.7,Evening,Monday,February,Better
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.69,2019-03-30,13:22:00,Cash,281.61,4.761904716,14.0805,9.6,Afternoon,Saturday,March,Best
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.63,2019-01-22,10:55:00,Ewallet,672.03,4.761904716,33.6015,9.4,Morning,Tuesday,January,Best
287-83-1405,A,Yangon,Normal,Male,Health and beauty,25.43,6,7.629,160.21,2019-02-12,19:01:00,Ewallet,152.58,4.761904716,7.629,7.0,Evening,Tuesday,February,Good
288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54,5,9.635,202.34,2019-01-09,13:34:00,Ewallet,192.7,4.761904716,9.635,5.6,Afternoon,Wednesday,January,Good
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.79,2019-01-11,10:37:00,Credit card,329.32,4.761904716,16.466,7.5,Morning,Friday,January,Good
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,2019-03-16,11:22:00,Cash,95.0,4.761904716,4.75,5.2,Morning,Saturday,March,Good
291-55-6563,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.85,2019-03-30,12:45:00,Ewallet,206.52,4.761904716,10.326,7.5,Afternoon,Saturday,March,Good
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.39,2019-01-15,10:43:00,Cash,133.7,4.761904716,6.685,9.7,Morning,Tuesday,January,Best
305-03-2383,A,Yangon,Normal,Female,Food and beverages,67.1,3,10.065,211.37,2019-02-15,10:36:00,Cash,201.3,4.761904716,10.065,7.5,Morning,Friday,February,Good
